7/1/2024,"APOLLO INSURANCE         VANCOUVER    BC ",-47.57
7/2/2024,"Zara.com                 Fredericton  NB  (APPLE PAY) ",-140.04
7/2/2024,"          FROM - *****05*3553 ",500.00
7/3/2024," Zara.com                 Fredericton  NB ",79.09
7/5/2024,"UBER   * EATS PENDING    LONDON AMT            11.26 (APPLE PAY) ",-20.11
7/7/2024,"APPLE.COM/BILL           866-712-7753 ON ",-29.37
7/9/2024,"APPLE.COM/BILL           866-712-7753 ON ",-14.68
7/9/2024,"SP NO SAUCE THE PLUG     LONDON AMT           274.98 (APPLE PAY) ",-493.70
7/10/2024,"Amazon.ca Prime Member   amazon.ca/priBC ",-5.64
7/12/2024,"UBER   *EATS             HELP.UBER.COM AMT            11.26 ",-20.33
7/13/2024,"          FROM - *****05*3553 ",330.00
7/17/2024,"APPLE.COM/CA             800-676-2775 ON ",-291.54
7/18/2024,"PlayStation Network      800-3457669  CA ",-135.76
7/18/2024,"UBER   *EATS             HELP.UBER.COM AMT            12.06 ",-22.04
7/19/2024,"          FROM - *****05*3553 ",200.00
7/21/2024,"FREEDOM MOBILE           877-946-3184 ON ",-34.39
7/24/2024,"AMZN Mktp CA*RJ9G676V1   WWW.AMAZON.CAON ",-57.12
7/26/2024,"SAINSBURYS LOCAL         DERBY AMT             6.00 (APPLE PAY) ",-11.00
7/26/2024,"          FROM - *****05*3553 ",200.00
7/26/2024,"GOAT270#81395            TORONTO      ON  (APPLE PAY) ",-167.44
7/29/2024,"PlayStation Network      207-8595714  CA ",-107.34
7/29/2024,"          FROM - *****11*4986 ",88.00
